seed	replicate	model	label	factor	bits	value	predecessor	gap
20260909	1	uniform_accepted	RSA-260	2	431	5048361695558147442458443648637864297750183262791011377144925818020899358355638642661306223562751212996586051584822828300743992167	5048361695558147442458443648637864297750183262791011377144925818020899358355638642661306223562751212996586051584822828300743991909	258
20260909	1	upward_scan	RSA-100	1	165	41330130519419122959448283260927183561620366745799	41330130519419122959448283260927183561620366744713	1086
20260909	1	upward_scan	RSA-100	2	165	39387173692962514923314837486221240153307960405333	39387173692962514923314837486221240153307960404853	480
20260909	1	upward_scan	RSA-110	1	182	4878055698822124384356718629436617235360929769778084507	4878055698822124384356718629436617235360929769778083799	708
20260909	1	upward_scan	RSA-110	2	182	5020131498373546615130636018190466592356361717219911847	5020131498373546615130636018190466592356361717219911763	84
20260909	1	upward_scan	RSA-120	1	198	363934797065371259385291493954323652080353094788566582467911	363934797065371259385291493954323652080353094788566582467593	318
20260909	1	upward_scan	RSA-120	2	199	726791882639994650171019319228479871342917717013110792841139	726791882639994650171019319228479871342917717013110792840371	768
20260909	1	upward_scan	RSA-130	1	215	50155191729523109225180989485694696992407649915088246263582476633	50155191729523109225180989485694696992407649915088246263582475997	636
20260909	1	upward_scan	RSA-130	2	215	46213278172351152651986623020691131969252073720990236225485379371	46213278172351152651986623020691131969252073720990236225485379113	258
20260909	1	upward_scan	RSA-140	1	231	2742042710192160828567629156359629909476942502602517759628368069858467	2742042710192160828567629156359629909476942502602517759628368069858173	294
20260909	1	upward_scan	RSA-140	2	232	6072178002936305688703339247150067255359318290942031961000641983393817	6072178002936305688703339247150067255359318290942031961000641983393583	234
20260909	1	upward_scan	RSA-150	1	248	423002273205999372210417271874743394502684151482697534210576918963748892533	423002273205999372210417271874743394502684151482697534210576918963748891861	672
20260909	1	upward_scan	RSA-150	2	248	437324194419369414492312553779831429452119172563203729368787273299791128521	437324194419369414492312553779831429452119172563203729368787273299791128023	498
20260909	1	upward_scan	RSA-160	1	265	46484331636126049268884541984898566521665602585240323645486335308427262512523781	46484331636126049268884541984898566521665602585240323645486335308427262512523421	360
20260909	1	upward_scan	RSA-160	2	265	55051425743818467063866864583066841979984785943710985949788989625735511641916239	55051425743818467063866864583066841979984785943710985949788989625735511641916191	48
20260909	1	upward_scan	RSA-170	1	281	3301025891462264361681139950410149028008887938343050000626594039444965282359668885481	3301025891462264361681139950410149028008887938343050000626594039444965282359668885391	90
20260909	1	upward_scan	RSA-170	2	282	6709918726050136208710625168074118439137461557570311997997443021541624408824696047453	6709918726050136208710625168074118439137461557570311997997443021541624408824696047147	306
